datetime,premium
2021-01-01,-7.446e-05
2021-01-02,0.00198284
2021-01-03,0.00426932
2021-01-04,0.00096226
2021-01-05,0.00018808
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,-0.00112982
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,-0.0017873
2021-01-13,0.0
2021-01-14,0.00012756
2021-01-15,-0.00227684
2021-01-16,-0.00199507
2021-01-17,-0.00247937
2021-01-18,-0.00027938
2021-01-19,-0.00293614
2021-01-20,0.0
2021-01-21,-0.00272275
2021-01-22,0.0
2021-01-23,0.00057104
2021-01-24,0.0
2021-01-25,-0.00248392
2021-01-26,-0.00045204
2021-01-27,-0.00271784
2021-01-28,-0.0017272
2021-01-29,-0.00033008
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.00020065
2021-02-02,0.0
2021-02-03,0.00043087
2021-02-04,0.0
2021-02-05,-0.00027531
2021-02-06,0.00021601
2021-02-07,9.26e-06
2021-02-08,0.0012059
2021-02-09,0.003943
2021-02-10,0.00179277
2021-02-11,0.00231614
2021-02-12,-0.00080296
2021-02-13,0.00534745
2021-02-14,0.00082977
2021-02-15,0.0
2021-02-16,-0.00018522
2021-02-17,0.0
2021-02-18,0.00229462
2021-02-19,0.00266098
2021-02-20,-0.00155138
2021-02-21,0.00096861
2021-02-22,-0.00113039
2021-02-23,-7.152e-05
2021-02-24,-0.00261101
2021-02-25,-0.00160467
2021-02-26,0.0
2021-02-27,-0.00317993
2021-02-28,-0.00070262
2021-03-01,-0.00024245
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.00066178
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.00249422
2021-03-10,7.527e-05
2021-03-11,0.00116777
2021-03-12,0.00165582
2021-03-13,0.00087294
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.00096292
2021-03-19,0.0003656
2021-03-20,0.00125855
2021-03-21,0.00160532
2021-03-22,-2.084e-05
2021-03-23,0.00050478
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.00051795
2021-03-27,0.0
2021-03-28,0.00141677
2021-03-29,0.0027126
2021-03-30,0.00248907
2021-03-31,0.00182287
2021-04-01,0.0014606
2021-04-02,0.00263973
2021-04-03,0.00039848
2021-04-04,0.00142105
2021-04-05,0.00165366
2021-04-06,0.00160652
