datetime,funding_rate
2021-01-01 00:00:00.002,0.00035463
2021-01-01 08:00:00.006,0.00018254
2021-01-01 16:00:00.003,0.00052801
2021-01-02 00:00:00.000,0.00011843
2021-01-02 08:00:00.000,0.00056624
2021-01-02 16:00:00.006,0.00065397
2021-01-03 00:00:00.018,0.00078533
2021-01-03 08:00:00.000,0.00051253
2021-01-03 16:00:00.002,0.00128498
2021-01-04 00:00:00.000,0.00138609
2021-01-04 08:00:00.000,0.00351734
2021-01-04 16:00:00.000,0.00086096
2021-01-05 00:00:00.020,0.00093728
2021-01-05 08:00:00.003,0.00068142
2021-01-05 16:00:00.003,0.00084063
2021-01-06 00:00:00.010,0.00103544
2021-01-06 08:00:00.003,0.00059998
2021-01-06 16:00:00.000,0.00113195
2021-01-07 00:00:00.007,0.00151227
2021-01-07 08:00:00.000,0.00259791
2021-01-07 16:00:00.004,0.00398363
2021-01-08 00:00:00.000,0.00121306
2021-01-08 08:00:00.000,0.00032328
2021-01-08 16:00:00.000,0.00154332
2021-01-09 00:00:00.009,0.00022472
2021-01-09 08:00:00.004,0.00047444
2021-01-09 16:00:00.000,0.00111608
2021-01-10 00:00:00.000,0.0022339
2021-01-10 08:00:00.005,0.00395651
2021-01-10 16:00:00.000,0.00035634
2021-01-11 00:00:00.000,0.00092358
2021-01-11 08:00:00.012,0.0001
2021-01-11 16:00:00.000,0.0001
2021-01-12 00:00:00.000,0.0001
2021-01-12 08:00:00.000,0.0001
2021-01-12 16:00:00.008,0.0001
2021-01-13 00:00:00.001,0.0001
2021-01-13 08:00:00.000,0.0001
2021-01-13 16:00:00.003,0.00038625
2021-01-14 00:00:00.000,0.0001
2021-01-14 08:00:00.012,0.00010463
2021-01-14 16:00:00.000,0.00046754
2021-01-15 00:00:00.002,0.00083582
2021-01-15 08:00:00.000,0.00071542
2021-01-15 16:00:00.004,0.00102126
2021-01-16 00:00:00.000,0.00031384
2021-01-16 08:00:00.008,0.00070416
2021-01-16 16:00:00.000,0.00106604
2021-01-17 00:00:00.009,0.00028641
2021-01-17 08:00:00.000,0.0001
2021-01-17 16:00:00.001,0.0001
2021-01-18 00:00:00.000,0.00070107
2021-01-18 08:00:00.004,0.00055125
2021-01-18 16:00:00.000,0.00057155
2021-01-19 00:00:00.000,0.00105722
2021-01-19 08:00:00.005,0.00128928
2021-01-19 16:00:00.012,0.00200894
2021-01-20 00:00:00.012,0.00059953
2021-01-20 08:00:00.001,0.00028556
2021-01-20 16:00:00.001,0.0001
2021-01-21 00:00:00.000,0.00034764
2021-01-21 08:00:00.000,0.00024651
2021-01-21 16:00:00.004,0.0001
2021-01-22 00:00:00.012,0.0001
2021-01-22 08:00:00.003,0.0001
2021-01-22 16:00:00.001,0.0001
2021-01-23 00:00:00.000,0.0001
2021-01-23 08:00:00.002,0.0001
2021-01-23 16:00:00.000,0.0001
2021-01-24 00:00:00.001,0.0001
2021-01-24 08:00:00.011,0.00059009
2021-01-24 16:00:00.005,0.00018449
2021-01-25 00:00:00.007,0.00044935
2021-01-25 08:00:00.012,0.0007451
2021-01-25 16:00:00.000,0.0009872
2021-01-26 00:00:00.007,0.00028941
2021-01-26 08:00:00.000,0.0001
2021-01-26 16:00:00.000,0.00020884
2021-01-27 00:00:00.000,0.0001
2021-01-27 08:00:00.011,0.00041955
2021-01-27 16:00:00.003,0.00022288
2021-01-28 00:00:00.000,0.0001
2021-01-28 08:00:00.000,0.00033598
2021-01-28 16:00:00.000,0.00057109
2021-01-29 00:00:00.009,0.00071144
2021-01-29 08:00:00.000,0.00161372
2021-01-29 16:00:00.000,0.00167205
2021-01-30 00:00:00.000,0.00022505
2021-01-30 08:00:00.000,0.00017422
2021-01-30 16:00:00.000,0.00087976
2021-01-31 00:00:00.009,0.00134854
2021-01-31 08:00:00.000,0.00160714
2021-01-31 16:00:00.000,0.00078278
2021-02-01 00:00:00.001,0.0001
2021-02-01 08:00:00.014,0.00028099
2021-02-01 16:00:00.000,0.00118608
2021-02-02 00:00:00.000,0.00068209
2021-02-02 08:00:00.006,0.00058223
2021-02-02 16:00:00.000,0.00170689
2021-02-03 00:00:00.009,0.00150387
2021-02-03 08:00:00.006,0.00178279
2021-02-03 16:00:00.006,0.00157276
2021-02-04 00:00:00.005,0.00179403
2021-02-04 08:00:00.000,0.00245729
2021-02-04 16:00:00.011,0.00047516
2021-02-05 00:00:00.009,0.00265441
2021-02-05 08:00:00.004,0.0031528
2021-02-05 16:00:00.000,0.00339278
2021-02-06 00:00:00.008,0.00264902
2021-02-06 08:00:00.009,0.00071675
2021-02-06 16:00:00.000,0.00110687
2021-02-07 00:00:00.000,0.00115256
2021-02-07 08:00:00.005,0.00048535
2021-02-07 16:00:00.001,0.00031419
2021-02-08 00:00:00.000,0.00025516
2021-02-08 08:00:00.001,0.00032664
2021-02-08 16:00:00.000,0.00277776
2021-02-09 00:00:00.010,0.00253764
2021-02-09 08:00:00.006,0.00264429
2021-02-09 16:00:00.007,0.00346733
2021-02-10 00:00:00.009,0.00436717
2021-02-10 08:00:00.014,0.00379341
2021-02-10 16:00:00.005,0.00228878
2021-02-11 00:00:00.000,0.00174834
2021-02-11 08:00:00.000,0.0024937
2021-02-11 16:00:00.000,0.00370643
2021-02-12 00:00:00.000,0.00223452
2021-02-12 08:00:00.000,0.0023603
2021-02-12 16:00:00.000,0.00426377
2021-02-13 00:00:00.001,0.0056224
2021-02-13 08:00:00.003,0.00523125
2021-02-13 16:00:00.000,0.00089647
2021-02-14 00:00:00.013,0.00271784
2021-02-14 08:00:00.000,0.00207298
2021-02-14 16:00:00.008,0.00270657
2021-02-15 00:00:00.000,0.00131607
2021-02-15 08:00:00.006,-0.00010663
2021-02-15 16:00:00.000,0.00079198
2021-02-16 00:00:00.001,0.00044418
2021-02-16 08:00:00.000,0.00053891
2021-02-16 16:00:00.010,0.00078865
2021-02-17 00:00:00.005,0.0001
2021-02-17 08:00:00.010,0.0001
2021-02-17 16:00:00.008,0.00169025
2021-02-18 00:00:00.012,0.00248108
2021-02-18 08:00:00.000,0.00241168
2021-02-18 16:00:00.009,0.0024627
2021-02-19 00:00:00.010,0.00224275
2021-02-19 08:00:00.002,0.00156055
2021-02-19 16:00:00.008,0.00355846
2021-02-20 00:00:00.000,0.00222549
2021-02-20 08:00:00.009,0.00244171
2021-02-20 16:00:00.000,0.00332845
2021-02-21 00:00:00.007,0.00071331
2021-02-21 08:00:00.012,0.0001
2021-02-21 16:00:00.001,0.00053804
2021-02-22 00:00:00.006,0.00039742
2021-02-22 08:00:00.002,0.00030484
2021-02-22 16:00:00.000,-0.00138964
2021-02-23 00:00:00.000,-0.00026729
2021-02-23 08:00:00.006,-0.00058918
2021-02-23 16:00:00.000,-0.00160211
2021-02-24 00:00:00.012,-0.000383
2021-02-24 08:00:00.016,0.0001
2021-02-24 16:00:00.011,0.0001
2021-02-25 00:00:00.007,-0.00054886
2021-02-25 08:00:00.000,0.0001
2021-02-25 16:00:00.010,0.00023574
2021-02-26 00:00:00.000,0.0001
2021-02-26 08:00:00.025,0.0001
2021-02-26 16:00:00.010,0.0001
2021-02-27 00:00:00.001,0.0001
2021-02-27 08:00:00.000,0.0002863
2021-02-27 16:00:00.000,0.00012939
2021-02-28 00:00:00.021,0.0001
2021-02-28 08:00:00.009,0.0001
2021-02-28 16:00:00.000,0.0001
2021-03-01 00:00:00.000,0.0001
2021-03-01 08:00:00.003,0.00028545
2021-03-01 16:00:00.001,0.00010807
2021-03-02 00:00:00.000,0.0001
2021-03-02 08:00:00.000,0.0001
2021-03-02 16:00:00.004,0.0004061
2021-03-03 00:00:00.000,0.0001
2021-03-03 08:00:00.016,0.00063338
2021-03-03 16:00:00.000,0.00010163
2021-03-04 00:00:00.000,0.00033129
2021-03-04 08:00:00.015,0.00069964
2021-03-04 16:00:00.001,0.00058458
2021-03-05 00:00:00.000,0.00064552
2021-03-05 08:00:00.002,0.00016814
2021-03-05 16:00:00.008,0.0001
2021-03-06 00:00:00.000,0.00032732
2021-03-06 08:00:00.000,0.00049829
2021-03-06 16:00:00.000,0.0001
2021-03-07 00:00:00.006,0.00022497
2021-03-07 08:00:00.005,0.00066928
2021-03-07 16:00:00.008,0.00034428
2021-03-08 00:00:00.000,0.00051162
2021-03-08 08:00:00.000,0.0004139
2021-03-08 16:00:00.006,0.00124881
2021-03-09 00:00:00.000,0.00108631
2021-03-09 08:00:00.000,0.00117608
2021-03-09 16:00:00.000,0.00167821
2021-03-10 00:00:00.009,0.0024341
2021-03-10 08:00:00.006,0.00078568
2021-03-10 16:00:00.008,0.00116433
2021-03-11 00:00:00.000,0.00115653
2021-03-11 08:00:00.000,0.00098841
2021-03-11 16:00:00.014,0.00130074
2021-03-12 00:00:00.002,0.00057405
2021-03-12 08:00:00.005,0.00061471
2021-03-12 16:00:00.011,0.00069372
2021-03-13 00:00:00.000,0.00099532
2021-03-13 08:00:00.002,0.00085896
2021-03-13 16:00:00.000,0.00156727
2021-03-14 00:00:00.011,0.0016096
2021-03-14 08:00:00.000,0.00101779
2021-03-14 16:00:00.000,0.00175706
2021-03-15 00:00:00.012,0.0015728
2021-03-15 08:00:00.016,0.00115789
2021-03-15 16:00:00.030,0.00107809
2021-03-16 00:00:00.005,0.00119926
2021-03-16 08:00:00.008,0.00051727
2021-03-16 16:00:00.012,0.00100407
2021-03-17 00:00:00.010,0.00068354
2021-03-17 08:00:00.000,0.00095239
2021-03-17 16:00:00.009,0.00110461
2021-03-18 00:00:00.001,0.00162439
2021-03-18 08:00:00.000,0.00088006
2021-03-18 16:00:00.000,0.00184886
2021-03-19 00:00:00.011,0.00065442
2021-03-19 08:00:00.001,0.00019967
2021-03-19 16:00:00.000,0.00027786
2021-03-20 00:00:00.000,0.00091705
2021-03-20 08:00:00.000,0.00120562
2021-03-20 16:00:00.007,0.00200419
2021-03-21 00:00:00.000,0.00121599
2021-03-21 08:00:00.000,0.00057051
2021-03-21 16:00:00.000,0.00020428
2021-03-22 00:00:00.007,0.00106212
2021-03-22 08:00:00.001,0.00074098
2021-03-22 16:00:00.000,0.00122025
2021-03-23 00:00:00.000,0.0001376
2021-03-23 08:00:00.010,0.0001
2021-03-23 16:00:00.023,0.0001
2021-03-24 00:00:00.002,0.0001
2021-03-24 08:00:00.000,0.0001
2021-03-24 16:00:00.000,0.00100853
2021-03-25 00:00:00.000,0.0001
2021-03-25 08:00:00.000,0.0001
2021-03-25 16:00:00.000,0.0001
2021-03-26 00:00:00.008,0.00049985
2021-03-26 08:00:00.000,0.00062865
2021-03-26 16:00:00.012,0.00077577
2021-03-27 00:00:00.018,0.00084007
2021-03-27 08:00:00.000,0.00073133
2021-03-27 16:00:00.001,0.0006387
2021-03-28 00:00:00.000,0.00112167
2021-03-28 08:00:00.000,0.00099459
2021-03-28 16:00:00.005,0.00128956
2021-03-29 00:00:00.003,0.00095358
2021-03-29 08:00:00.000,0.00105932
2021-03-29 16:00:00.000,0.00115325
2021-03-30 00:00:00.018,0.00144342
2021-03-30 08:00:00.012,0.00201488
2021-03-30 16:00:00.001,0.00163988
2021-03-31 00:00:00.000,0.00181142
2021-03-31 08:00:00.000,0.00149013
2021-03-31 16:00:00.000,0.00104543
2021-04-01 00:00:00.025,0.00168077
2021-04-01 08:00:00.011,0.00137666
2021-04-01 16:00:00.004,0.00210496
2021-04-02 00:00:00.000,0.00103165
2021-04-02 08:00:00.000,0.00238077
2021-04-02 16:00:00.000,0.00157719
2021-04-03 00:00:00.003,0.00153861
2021-04-03 08:00:00.000,0.00213782
2021-04-03 16:00:00.000,0.00245274
2021-04-04 00:00:00.000,0.00067407
2021-04-04 08:00:00.000,0.00094267
2021-04-04 16:00:00.016,0.00123721
2021-04-05 00:00:00.000,0.00156076
2021-04-05 08:00:00.001,0.00148819
2021-04-05 16:00:00.001,0.00219172
2021-04-06 00:00:00.010,0.00178282
2021-04-06 08:00:00.000,0.00216454
2021-04-06 16:00:00.003,0.00125016
2021-04-07 00:00:00.000,0.00048584
2021-04-07 08:00:00.006,0.00101161
2021-04-07 16:00:00.004,0.0001
2021-04-08 00:00:00.013,0.00035158
2021-04-08 08:00:00.003,0.00094826
2021-04-08 16:00:00.005,0.00100424
2021-04-09 00:00:00.000,0.00094195
2021-04-09 08:00:00.004,0.00114975
2021-04-09 16:00:00.004,0.00113511
2021-04-10 00:00:00.011,0.00127634
2021-04-10 08:00:00.005,0.00169789
2021-04-10 16:00:00.000,0.00176924
2021-04-11 00:00:00.004,0.00085756
2021-04-11 08:00:00.000,0.00142175
2021-04-11 16:00:00.000,0.00178756
2021-04-12 00:00:00.001,0.00156773
2021-04-12 08:00:00.001,0.00261915
2021-04-12 16:00:00.008,0.00121159
2021-04-13 00:00:00.003,0.00162077
2021-04-13 08:00:00.008,0.00189534
2021-04-13 16:00:00.008,0.00280608
2021-04-14 00:00:00.008,0.00149114
2021-04-14 08:00:00.000,0.00260513
2021-04-14 16:00:00.012,0.00137384
2021-04-15 00:00:00.006,0.00139077
2021-04-15 08:00:00.000,0.00188073
2021-04-15 16:00:00.008,0.00179449
2021-04-16 00:00:00.008,0.00278229
2021-04-16 08:00:00.000,0.00171507
2021-04-16 16:00:00.002,0.00235234
2021-04-17 00:00:00.008,0.00259642
2021-04-17 08:00:00.000,0.00236944
2021-04-17 16:00:00.001,0.00196293
2021-04-18 00:00:00.006,0.001168
2021-04-18 08:00:00.004,9.447e-05
2021-04-18 16:00:00.000,0.0001
2021-04-19 00:00:00.000,0.0001
2021-04-19 08:00:00.000,0.0001
2021-04-19 16:00:00.009,0.0001
2021-04-20 00:00:00.004,0.0001
2021-04-20 08:00:00.000,0.0001
2021-04-20 16:00:00.001,0.0001
2021-04-21 00:00:00.013,0.0001
