datetime,open,high,low,close,volume
2021-01-01,737.18,750.4,714.55,729.77,1952291.25
2021-01-02,729.7,788.71,715.6,775.02,4176508.581
2021-01-03,775.04,1022.51,769.19,980.24,9610267.802
2021-01-04,980.23,1173.94,890.0,1043.11,12057661.067
2021-01-05,1043.12,1138.92,974.23,1101.29,7526097.093
2021-01-06,1101.29,1218.0,1057.3,1212.64,6952861.553
2021-01-07,1212.98,1297.15,1150.0,1227.12,5807791.01
2021-01-08,1227.5,1279.06,1064.6,1218.39,6994773.234
2021-01-09,1218.55,1314.0,1173.0,1279.96,4157466.015
2021-01-10,1279.96,1354.66,1168.49,1257.96,5913298.389
2021-01-11,1257.95,1264.5,915.2,1086.94,11237262.772
2021-01-12,1086.84,1153.13,1007.0,1050.82,5531356.605
2021-01-13,1050.67,1138.63,987.21,1130.4,4029644.646
2021-01-14,1130.4,1249.32,1087.68,1234.86,4079502.435
2021-01-15,1234.5,1260.0,1070.0,1168.79,5020898.727
2021-01-16,1168.65,1296.79,1152.13,1230.19,3980782.071
2021-01-17,1230.32,1272.28,1165.0,1233.71,3396518.439
2021-01-18,1233.61,1265.96,1183.2,1262.99,2562805.077
2021-01-19,1263.0,1444.05,1255.51,1367.51,6288844.344
2021-01-20,1367.38,1411.38,1236.35,1379.24,5844273.198
2021-01-21,1379.23,1391.0,1083.4,1111.23,6820207.515
2021-01-22,1111.82,1274.52,1041.13,1234.55,5475223.381
2021-01-23,1234.54,1274.0,1197.0,1235.66,2920417.541
2021-01-24,1235.65,1401.88,1221.51,1394.24,3768553.334
2021-01-25,1394.23,1481.46,1293.0,1318.61,5138109.254
2021-01-26,1318.53,1379.5,1244.87,1368.4,4868106.344
2021-01-27,1368.48,1377.9,1206.0,1238.55,5277115.882
2021-01-28,1238.55,1362.94,1217.28,1329.86,3463945.921
2021-01-29,1330.28,1443.0,1285.46,1381.99,5010264.423
2021-01-30,1382.14,1409.35,1328.0,1380.48,2364036.673
2021-01-31,1380.42,1383.7,1281.96,1313.12,2091898.285
2021-02-01,1313.09,1379.73,1270.0,1376.48,2282184.993
2021-02-02,1376.74,1551.5,1363.0,1516.26,5098356.241
2021-02-03,1516.2,1672.76,1510.76,1666.0,4407760.724
2021-02-04,1666.1,1703.37,1557.0,1596.0,4966516.757
2021-02-05,1595.93,1767.19,1592.46,1721.16,3518469.104
2021-02-06,1721.03,1748.11,1647.09,1679.34,2991060.685
2021-02-07,1679.38,1695.5,1490.48,1611.99,4063794.078
2021-02-08,1612.0,1782.5,1566.22,1755.61,3884050.435
2021-02-09,1755.6,1830.47,1713.2,1770.79,3388435.791
2021-02-10,1770.99,1848.0,1680.0,1743.31,3442140.65
2021-02-11,1743.3,1827.07,1704.21,1789.32,2256762.199
2021-02-12,1789.32,1872.86,1740.22,1843.08,2650816.264
2021-02-13,1843.08,1878.88,1764.79,1818.02,2381458.551
2021-02-14,1817.86,1857.67,1785.23,1803.59,1773668.237
2021-02-15,1804.0,1839.63,1652.0,1781.34,3238695.81
2021-02-16,1781.34,1831.58,1726.01,1784.31,2536777.874
2021-02-17,1784.31,1864.26,1735.66,1849.86,2340915.266
2021-02-18,1849.87,1955.0,1849.37,1941.26,2447343.966
2021-02-19,1941.12,1980.0,1894.0,1958.58,1943898.87
2021-02-20,1958.59,2048.0,1792.0,1914.58,3273599.601
2021-02-21,1914.51,1981.04,1885.0,1934.75,2039425.917
2021-02-22,1934.59,1938.5,1552.2,1778.3,4972903.814
2021-02-23,1778.22,1784.08,1348.17,1579.75,7089349.585
2021-02-24,1579.75,1714.04,1501.09,1623.98,3593348.017
2021-02-25,1623.94,1672.49,1458.0,1482.09,2955804.261
2021-02-26,1482.13,1563.66,1401.01,1445.28,3880051.012
2021-02-27,1445.36,1530.19,1425.5,1458.65,2530875.338
2021-02-28,1458.64,1469.44,1292.8,1419.77,4109392.696
