datetime,premium
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.00036088
2021-01-04,-0.00379751
2021-01-05,-0.01138991
2021-01-06,-0.03208167
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.00138731
2021-01-10,-0.00050959
2021-01-11,0.0
2021-01-12,-0.00035029
2021-01-13,0.00156693
2021-01-14,0.0024084
2021-01-15,0.00052894
2021-01-16,0.0
2021-01-17,0.00440259
2021-01-18,0.00102375
2021-01-19,-0.00079162
2021-01-20,0.0
2021-01-21,-0.00220667
2021-01-22,-0.00037982
2021-01-23,0.00036789
2021-01-24,0.00140573
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,-0.00137491
2021-01-28,0.00069851
2021-01-29,0.00255785
2021-01-30,0.00225091
2021-01-31,0.00053468
2021-02-01,0.00087825
2021-02-02,0.00203895
2021-02-03,0.0
2021-02-04,0.00292948
2021-02-05,0.00252382
2021-02-06,0.00127549
2021-02-07,0.00019524
2021-02-08,0.00330529
2021-02-09,0.00382902
2021-02-10,0.00248746
2021-02-11,0.0008534
2021-02-12,0.00120272
2021-02-13,0.0022978
2021-02-14,0.0007046
2021-02-15,0.00117478
2021-02-16,0.00061367
2021-02-17,0.00160087
2021-02-18,0.00060901
2021-02-19,0.00086336
2021-02-20,0.00082819
2021-02-21,0.00114931
2021-02-22,-0.00245458
2021-02-23,0.00038931
2021-02-24,0.0
2021-02-25,-0.00235466
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.00043923
2021-03-01,0.00156796
2021-03-02,0.00060252
2021-03-03,0.00056912
2021-03-04,0.00097954
2021-03-05,0.00028322
2021-03-06,5.538e-05
2021-03-07,0.00058392
2021-03-08,0.00134055
2021-03-09,0.00382308
2021-03-10,0.00047186
2021-03-11,0.00173067
2021-03-12,0.00069601
2021-03-13,0.00045692
2021-03-14,0.0
2021-03-15,0.00086386
2021-03-16,0.00189292
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.00028721
2021-03-21,0.0
2021-03-22,-2.23e-06
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.00099311
2021-03-28,0.00190496
2021-03-29,0.00194963
2021-03-30,0.00133782
2021-03-31,0.00179423
2021-04-01,2.111e-05
2021-04-02,0.00361559
2021-04-03,0.00153562
2021-04-04,0.0
2021-04-05,0.00101356
2021-04-06,0.00168655
2021-04-07,0.00151894
2021-04-08,0.0
2021-04-09,0.00055656
2021-04-10,0.00109171
2021-04-11,0.00305256
2021-04-12,0.00116657
2021-04-13,0.00258492
2021-04-14,0.00017998
2021-04-15,0.0
2021-04-16,0.00125845
2021-04-17,-0.0003478
2021-04-18,2.652e-05
2021-04-19,0.00019657
2021-04-20,0.00031288
2021-04-21,0.00014072
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,-0.00010944
2021-04-26,0.00204928
2021-04-27,0.00150674
2021-04-28,0.00075945
2021-04-29,0.00034901
2021-04-30,0.00083957
2021-05-01,0.00253898
2021-05-02,0.00065171
2021-05-03,0.00105154
2021-05-04,0.00068826
2021-05-05,0.00131673
2021-05-06,0.00131443
2021-05-07,0.00202262
2021-05-08,0.00195145
2021-05-09,0.00042887
2021-05-10,0.0
2021-05-11,0.00085536
2021-05-12,0.0
2021-05-13,4.695e-05
2021-05-14,0.00084173
2021-05-15,0.00115728
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,-0.00066031
2021-05-19,0.0
2021-05-20,0.00076818
2021-05-21,0.0
2021-05-22,-0.00063322
2021-05-23,0.0
2021-05-24,0.00018093
2021-05-25,0.0
2021-05-26,-0.00012788
2021-05-27,0.00186068
2021-05-28,-0.0006473
2021-05-29,-0.00045526
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0008739
2021-06-04,-9.157e-05
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.00077238
2021-06-08,2.955e-05
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.00111714
2021-06-12,0.0
2021-06-13,-0.00012314
2021-06-14,-0.00023964
2021-06-15,0.0
2021-06-16,-0.00051582
2021-06-17,0.0
2021-06-18,0.0
