datetime,premium
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.00297973
2021-01-04,0.00066317
2021-01-05,0.00287324
2021-01-06,0.00391217
2021-01-07,0.00143191
2021-01-08,0.0
2021-01-09,0.00269354
2021-01-10,0.0
2021-01-11,-0.00124129
2021-01-12,-0.0009009
2021-01-13,0.0
2021-01-14,0.00172772
2021-01-15,0.00141355
2021-01-16,0.00046574
2021-01-17,0.0009803
2021-01-18,0.00127718
2021-01-19,0.0
2021-01-20,0.00204282
2021-01-21,-0.00018004
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,-0.00041904
2021-01-27,-0.00016834
2021-01-28,0.00157349
2021-01-29,-0.00260875
2021-01-30,-0.00739904
2021-01-31,-0.00343195
2021-02-01,6.74e-06
2021-02-02,0.00120157
2021-02-03,0.00091326
2021-02-04,-0.00119667
2021-02-05,0.0010577
2021-02-06,0.00086103
2021-02-07,0.0027821
2021-02-08,0.00352359
2021-02-09,0.0014538
2021-02-10,0.00076172
2021-02-11,0.00259122
2021-02-12,0.00216786
2021-02-13,0.00127235
2021-02-14,0.0
2021-02-15,0.00040113
2021-02-16,0.00106109
2021-02-17,0.00057846
2021-02-18,0.0
2021-02-19,0.00188419
2021-02-20,0.0
2021-02-21,0.00103823
2021-02-22,0.00069806
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,-0.00088217
2021-02-26,-0.00097138
2021-02-27,0.00055469
2021-02-28,0.0
2021-03-01,0.00032205
2021-03-02,-0.0021654
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.00035253
2021-03-08,0.00083154
2021-03-09,0.00086936
2021-03-10,0.00069051
2021-03-11,0.00205152
2021-03-12,0.00097186
2021-03-13,0.0
2021-03-14,-0.0004508
2021-03-15,0.00104473
2021-03-16,0.00183427
2021-03-17,0.00129846
2021-03-18,0.00112154
2021-03-19,0.00096211
2021-03-20,0.00187274
2021-03-21,0.00145367
2021-03-22,0.00044576
2021-03-23,0.00072079
2021-03-24,0.0
2021-03-25,0.0004315
2021-03-26,0.0
2021-03-27,0.00094859
2021-03-28,0.00063083
2021-03-29,0.0005968
2021-03-30,0.00165376
2021-03-31,0.00077254
2021-04-01,0.0
2021-04-02,0.00255842
2021-04-03,0.00055919
2021-04-04,0.00109913
2021-04-05,0.00123298
2021-04-06,0.00030184
2021-04-07,0.00059082
2021-04-08,0.00086412
2021-04-09,0.00106709
2021-04-10,0.00086979
2021-04-11,0.00240052
2021-04-12,0.0009693
2021-04-13,0.00244132
2021-04-14,0.00133681
2021-04-15,-0.00458657
2021-04-16,0.0
2021-04-17,0.00011289
2021-04-18,0.00104892
2021-04-19,0.00068889
2021-04-20,0.00196171
2021-04-21,0.00013254
2021-04-22,0.0
2021-04-23,3.887e-05
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.00105642
2021-04-27,0.0008462
2021-04-28,0.00071544
2021-04-29,0.00155162
2021-04-30,0.00054604
2021-05-01,0.00108089
2021-05-02,0.00081798
2021-05-03,0.001225
2021-05-04,0.00102262
2021-05-05,0.00124491
2021-05-06,0.00083347
2021-05-07,0.0026989
2021-05-08,0.00078363
2021-05-09,0.00049045
2021-05-10,0.00068407
2021-05-11,0.00013824
2021-05-12,-0.00120066
2021-05-13,0.00062293
2021-05-14,0.0
2021-05-15,0.00033902
2021-05-16,-0.00045231
2021-05-17,0.00041965
2021-05-18,0.0001598
2021-05-19,0.0
2021-05-20,-0.00037264
2021-05-21,-0.00057338
2021-05-22,-0.00041501
2021-05-23,-0.00040531
2021-05-24,-0.0003298
2021-05-25,0.0
2021-05-26,-0.00075915
2021-05-27,0.0
2021-05-28,-9.922e-05
2021-05-29,-0.00014406
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.00108182
2021-06-02,0.00048297
2021-06-03,0.00017621
2021-06-04,-0.00031799
2021-06-05,-0.00097386
2021-06-06,0.00010068
2021-06-07,-0.0003791
2021-06-08,-0.00033953
2021-06-09,0.0
2021-06-10,0.00010526
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.00015223
2021-06-17,0.00029686
